# long   , lat    , population
-104.9847, 39.7392,     740948
-104.8214, 38.8339,     478961
-104.8319, 39.7294,     386261
-105.0844, 40.5853,     169810
-104.9719, 39.868 ,     141867
-105.0649, 39.813 ,     124402
-105.0372, 39.8367,     116317
-104.7091, 40.4233,     112816 // Greeley 7
-104.6091, 38.2544,     111876
-104.8772, 39.5807,     108418 // Centennial 9
-105.2705, 40.015 ,     108250
-105.1092, 40.1717,      98885
-105.0526, 40.3989,      77400 // Loveland 12
-105.0866, 39.9205,      74112
-104.8561, 39.3722,      73158
-108.5507, 39.0639,      65560 // Grand Junction 15
-104.9339, 39.8083,      62418
-104.7658, 39.5194,      58512
-105.0166, 39.6133,      45652
-104.9014, 40.4775,      44769
-104.8205, 39.9853,      41200
-104.9872, 39.8855,      38131
-105.1   , 40.0003,      30471
-104.7008, 38.6822,      29802 // Foutain 23
-104.7105, 40.3793,      22165
-105.1319, 39.9778,      21226
-107.8762, 38.4783,      21039 // Montrose 26
-105.2305, 39.7542,      20399
-107.88  , 37.2753,      19785 // Durango 28
-104.9122, 40.3369,      18075
-105.2283, 38.4467,      17141 // Cañon City 30
-104.9361, 40.1314,      16381 // Firestone 31
-104.9114, 39.6159,      15691
-104.961 , 40.1112,      14513
-105.0142, 39.8661,      14382 // Federal Heights 34
-104.8864, 39.5372,      14253
-103.2077, 40.6255,      13735 // Sterling 36
-108.729 , 39.1589,      13395
-105.1686, 39.9528,      13361 // Superior 38
-106.8317, 40.485 ,      13224 // Steambot Springs 39
-104.8961, 39.458 ,      11036
-105.0811, 40.3083,      10332
