Ville            , Population, Latitude, Longitude
Denver           ,     740948,  39.7392, -104.9847
Colorado Springs ,     478961,  38.8339, -104.8214
Aurora           ,     386261,  39.7294, -104.8319
Fort Collins     ,     169810,  40.5853, -105.0844
Thornton         ,     141867,  39.868 , -104.9719
Arvada           ,     124402,  39.813 , -105.0649
Westminster      ,     116317,  39.8367, -105.0372
Greeley          ,     112816,  40.4233, -104.7091
Pueblo           ,     111876,  38.2544, -104.6091
Centennial       ,     108418,  39.5807, -104.8772
Boulder          ,     108250,  40.015 , -105.2705
Longmont         ,      98885,  40.1717, -105.1092
Loveland         ,      77400,  40.3989, -105.0526
Broomfield       ,      74112,  39.9205, -105.0866
Castle Rock      ,      73158,  39.3722, -104.8561
Grand Junction   ,      65560,  39.0639, -108.5507
Commerce City    ,      62418,  39.8083, -104.9339
Parker           ,      58512,  39.5194, -104.7658
Littleton        ,      45652,  39.6133, -105.0166
Windsor          ,      44769,  40.4775, -104.9014
Brighton         ,      41200,  39.9853, -104.8205
Northglenn       ,      38131,  39.8855, -104.9872
Lafayette        ,      30471,  40.0003, -105.1
Fountain         ,      29802,  38.6822, -104.7008
Evans            ,      22165,  40.3793, -104.7105
Louisville       ,      21226,  39.9778, -105.1319
Montrose         ,      21039,  38.4783, -107.8762
Golden           ,      20399,  39.7542, -105.2305
Durango          ,      19785,  37.2753, -107.88
Johnstown        ,      18075,  40.3369, -104.9122
Cañon City       ,      17141,  38.4467, -105.2283
Firestone        ,      16381,  40.1314, -104.9361
Greenwood Village,      15691,  39.6159, -104.9114
Frederick        ,      14513,  40.1112, -104.961
Federal Heights  ,      14382,  39.8661, -105.0142
Lone Tree        ,      14253,  39.5372, -104.8864
Sterling         ,      13735,  40.6255, -103.2077
Fruita           ,      13395,  39.1589, -108.729
Superior         ,      13361,  39.9528, -105.1686
Steamboat Springs,      13224,  40.485 , -106.8317
Castle Pines     ,      11036,  39.458 , -104.8961
Berthoud         ,      10332,  40.3083, -105.0811
