long1, lat1, long2, lat2, distance
-104.9847, 39.7392, -104.8214, 38.8339, 110.88
-104.9847, 39.7392, -104.8319, 39.7294, 15.11
-104.9847, 39.7392, -105.0844, 40.5853, 102.56
-104.9847, 39.7392, -104.9719, 39.868, 17.82
-104.9847, 39.7392, -105.0649, 39.813, 15.50
-104.9847, 39.7392, -105.0372, 39.8367, 15.84
-104.9847, 39.7392, -104.7091, 40.4233, 89.45
-104.9847, 39.7392, -104.6091, 38.2544, 180.98
-104.9847, 39.7392, -104.8772, 39.5807, 22.54
-104.9847, 39.7392, -105.2705, 40.015, 45.85
-104.9847, 39.7392, -105.1092, 40.1717, 62.36
-104.9847, 39.7392, -105.0526, 40.3989, 80.76
-104.9847, 39.7392, -105.0866, 39.9205, 27.34
-104.9847, 39.7392, -104.8561, 39.3722, 46.42
-104.9847, 39.7392, -108.5507, 39.0639, 392.81
-104.9847, 39.7392, -104.9339, 39.8083, 11.14
-104.9847, 39.7392, -104.7658, 39.5194, 37.33
-104.9847, 39.7392, -105.0166, 39.6133, 16.77
-104.9847, 39.7392, -104.9014, 40.4775, 92.29
-104.9847, 39.7392, -104.8205, 39.9853, 33.84
-104.9847, 39.7392, -104.9872, 39.8855, 18.03
-104.9847, 39.7392, -105.1, 40.0003, 36.20
-104.9847, 39.7392, -104.7008, 38.6822, 133.78
-104.9847, 39.7392, -104.7105, 40.3793, 82.99
-104.9847, 39.7392, -105.1319, 39.9778, 34.79
-104.9847, 39.7392, -107.8762, 38.4783, 477.74
-104.9847, 39.7392, -105.2305, 39.7542, 28.13
-104.9847, 39.7392, -107.88, 37.2753, 538.72
-104.9847, 39.7392, -104.9122, 40.3369, 74.13
-104.9847, 39.7392, -105.2283, 38.4467, 183.23
-104.9847, 39.7392, -104.9361, 40.1314, 49.65
-104.9847, 39.7392, -104.9114, 39.6159, 18.81
-104.9847, 39.7392, -104.961, 40.1112, 45.33
-104.9847, 39.7392, -105.0142, 39.8661, 18.96
-104.9847, 39.7392, -104.8864, 39.5372, 29.39
-104.9847, 39.7392, -103.2077, 40.6255, 204.03
-104.9847, 39.7392, -108.729, 39.1589, 409.49
-104.9847, 39.7392, -105.1686, 39.9528, 34.88
-104.9847, 39.7392, -106.8317, 40.485, 251.50
-104.9847, 39.7392, -104.8961, 39.458, 39.39
-104.9847, 39.7392, -105.0811, 40.3083, 74.15
-104.8214, 38.8339, -104.8319, 39.7294, 110.03
-104.8214, 38.8339, -105.0844, 40.5853, 233.50
-104.8214, 38.8339, -104.9719, 39.868, 128.28
